parameter,value,se_sa,rse_sa,pvalue_sa
V1_pop,3.26325160653139,,,
beta_V1_tBSA,1.07927476650743,0.202569997435716,18.7690849190555,9.93491893197529e-08
Cl_pop,0.526335867899966,,,
beta_Cl_tBSA,2.13261858803868,0.5693724042609,26.6982763563239,0.000179991713186611
V2_pop,7.28137366056575,,,
Q_pop,1.08121888336952,,,
Vm_pop,18.0728244345283,,,
beta_Vm_tLYMPHO,-0.77990251681273,0.258088071899422,33.0923501765534,0.00251237978928764
Km_pop,0.75,,,
omega_V1,0.0535360286165259,0.034899902561151,65.1895619884994,
omega_Cl,0.220579324649945,0.0671412190114452,30.4385821826216,
omega_V2,0.308036491870618,nan,nan,
omega_Q,0.204634827313959,0.153037566972843,74.7856896998508,
omega_Vm,0.116956184191084,0.122086840376492,104.386819064672,
b1,0.135941358942812,0.0133210100417324,9.79908553609226,
